latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-40.2,175.4,61.0,0,GMT,GMT

time,windspeed,winddirection
2018-01-01T00:00,0.98,24
2018-01-01T01:00,0.92,347
2018-01-01T02:00,1.36,324
2018-01-01T03:00,2.00,307
2018-01-01T04:00,2.64,307
2018-01-01T05:00,2.78,300
2018-01-01T06:00,2.06,293
2018-01-01T07:00,1.30,293
2018-01-01T08:00,0.58,301
2018-01-01T09:00,0.36,56
2018-01-01T10:00,2.64,65
2018-01-01T11:00,2.36,54
2018-01-01T12:00,2.13,41
2018-01-01T13:00,2.16,34
2018-01-01T14:00,2.37,28
2018-01-01T15:00,2.33,31
2018-01-01T16:00,2.44,35
2018-01-01T17:00,2.62,40
2018-01-01T18:00,2.90,46
2018-01-01T19:00,2.75,57
2018-01-01T20:00,2.10,65
2018-01-01T21:00,1.56,50
2018-01-01T22:00,2.26,45
2018-01-01T23:00,1.63,11
2018-01-02T00:00,1.58,288
2018-01-02T01:00,2.60,272
2018-01-02T02:00,3.11,276
2018-01-02T03:00,2.40,253
2018-01-02T04:00,2.96,258
2018-01-02T05:00,2.00,273
2018-01-02T06:00,0.45,243
2018-01-02T07:00,0.90,90
2018-01-02T08:00,1.48,62
2018-01-02T09:00,1.78,52
2018-01-02T10:00,3.05,41
2018-01-02T11:00,2.55,48
2018-01-02T12:00,2.39,57
2018-01-02T13:00,2.34,50
2018-01-02T14:00,2.13,41
2018-01-02T15:00,1.89,32
2018-01-02T16:00,1.77,16
2018-01-02T17:00,1.55,15
2018-01-02T18:00,2.21,18
2018-01-02T19:00,1.30,23
2018-01-02T20:00,0.00,180
2018-01-02T21:00,0.54,202
2018-01-02T22:00,0.50,217
2018-01-02T23:00,0.78,220
2018-01-03T00:00,0.36,214
2018-01-03T01:00,0.58,121
2018-01-03T02:00,0.92,131
2018-01-03T03:00,1.17,121
2018-01-03T04:00,2.82,84
2018-01-03T05:00,3.93,75
2018-01-03T06:00,2.21,95
2018-01-03T07:00,3.18,77
2018-01-03T08:00,3.19,58
2018-01-03T09:00,3.14,59
2018-01-03T10:00,4.48,39
2018-01-03T11:00,4.31,46
2018-01-03T12:00,4.03,30
